"No.","Time","Source","Destination","Protocol","Length","Info"
"12761","444.811542","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"12762","444.811835","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"12763","444.856117","161.111.136.193","224.0.0.251","MDNS","223","Standard query response 0x0000 PTR wavetank._smb._tcp.local TXT, cache flush SRV, cache flush 0 0 445 wavetank.local A, cache flush 161.111.136.193 PTR wavetank(AFP)._afpovertcp._tcp.local TXT, cache flush SRV, cache flush 0 0 548 wavetank.local"
"12764","444.884532","161.111.136.150","224.0.0.251","MDNS","162","Standard query response 0x0000 PTR CRESQUES3._smb._tcp.local TXT, cache flush SRV, cache flush 0 0 445 cresques3.local A, cache flush 161.111.136.150"
"12765","444.898067","161.111.136.145","161.111.139.255","UDP","305","54915  >  54915 Len=263"
"12766","444.902026","169.254.37.120","224.0.0.251","MDNS","563","Standard query response 0x0000 PTR OKI-ES3032-5B6BBC._printer._tcp.local PTR OKI-ES3032-5B6BBC._pdl-datastream._tcp.local SRV, cache flush 50 0 515 oki-es3032-5b6bbc.local TXT, cache flush A, cache flush 169.254.37.120 SRV, cache flush 50 0 9100 oki-es3032-5b6bbc.local TXT, cache flush"
"12767","444.912095","161.111.136.44","224.0.0.251","MDNS","234","Standard query 0x0000 TXT castresa_(molevol.ibmb.csic.es)._device-info._tcp.local, ""QU"" question TXT BA-07E676._device-info._tcp.local, ""QU"" question TXT BA-07E676-Backup._device-info._tcp.local, ""QU"" question TXT wavetank._device-info._tcp.local, ""QU"" question TXT wavetank(AFP)._device-info._tcp.local, ""QU"" question TXT CRESQUES3._device-info._tcp.local, ""QU"" question OPT"
"12768","444.912112","fe80::403:2752:fa93:c237","ff02::fb","MDNS","254","Standard query 0x0000 TXT castresa_(molevol.ibmb.csic.es)._device-info._tcp.local, ""QU"" question TXT BA-07E676._device-info._tcp.local, ""QU"" question TXT BA-07E676-Backup._device-info._tcp.local, ""QU"" question TXT wavetank._device-info._tcp.local, ""QU"" question TXT wavetank(AFP)._device-info._tcp.local, ""QU"" question TXT CRESQUES3._device-info._tcp.local, ""QU"" question OPT"
"12769","444.912396","161.111.136.193","224.0.0.251","MDNS","116","Standard query response 0x0000 TXT, cache flush"
"12770","444.912750","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"12771","444.941209","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12772","444.941340","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12773","444.941410","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12774","444.941664","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12775","444.941767","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12776","444.941843","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12777","444.942017","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12778","444.942082","161.111.138.14","161.111.139.255","BROWSER","216","Get Backup List Request"
"12779","444.974921","161.111.137.212","161.111.139.255","UDP","86","57621  >  57621 Len=44"
"12780","445.016261","161.111.137.247","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"12781","445.034338","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","505","NOTIFY * HTTP/1.1 "
"12782","445.272048","161.111.137.136","161.111.139.255","NBNS","92","Name query NB WEBBIO<20>"
"12783","445.348203","161.111.137.247","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"12784","445.370572","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","557","NOTIFY * HTTP/1.1 "
"12785","445.549516","161.111.136.79","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"12786","445.598628","161.111.137.109","239.255.255.250","UDP","698","52485  >  3702 Len=656"
"12787","445.742829","192.168.4.20","161.111.139.31","UDP","108","35106  >  6041 Len=66"
"12788","445.743368","161.111.139.31","161.111.139.255","DIS","108","PDUType: 71 \t Info Operations Report"
"12789","445.743461","161.111.139.31","161.111.139.255","UDP","108","44597  >  1003 Len=66"
"12790","445.743515","161.111.139.31","161.111.139.255","UDP","108","52685  >  3401 Len=66"
"12791","445.743569","161.111.139.31","161.111.139.255","UDP","108","35919  >  6341 Len=66"
"12792","445.743611","161.111.139.31","161.111.139.255","UDP","108","38373  >  6441 Len=66"
"12793","445.764167","161.111.137.247","239.255.255.250","SSDP","488","NOTIFY * HTTP/1.1 "
"12794","445.778249","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","514","NOTIFY * HTTP/1.1 "
"12795","445.783916","192.168.4.20","161.111.139.31","UDP","108","33411  >  2999 Len=66"
"12796","445.812304","161.111.137.109","239.255.255.250","UDP","698","52485  >  3702 Len=656"
"12797","445.815204","161.111.136.44","224.0.0.251","MDNS","1185","Standard query 0x0000 PTR _pdl-datastream._tcp.local, ""QM"" question TXT Escritorio remoto de jose en joseasupermicro._device-info._tcp.local, ""QM"" question TXT AirPort Time Capsule de Albert._airport._tcp.local, ""QM"" question TXT castresa_(molevol.ibmb.csic.es)._device-info._tcp.local, ""QM"" question TXT wavetank._device-info._tcp.local, ""QM"" question TXT CRESQUES3._device-info._tcp.local, ""QM"" question PTR HP Color LaserJet CP2025dn (8D4CDF)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdw (C05845)._pdl-datastream._tcp.local PTR HP Color LaserJet Pro M252dw (52CBAB)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (3C20FE)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M281fdn (3FB77B)._pdl-datastream._tcp.local PTR HP Designjet T520 24in [4B8D70]._pdl-datastream._tcp.local PTR HP LaserJet P2055dn [BBDD81]._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (B7C915)._pdl-datastream._tcp.local PTR HP OfficeJet Pro 6970 [7CA429]._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (041193)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (A22195)._pdl-datastream._tcp.local PTR HP LaserJet P3005 [A1CF30]._pdl-datastream._tcp.local PTR HP LaserJet P3005 REC [1F55C8]._pdl-datastream._tcp.local PTR hp LaserJet 4250 [157FF8]._pdl-datastream._tcp.local PTR hp2k3cc - HP LaserJet P3005 [A3BE17]._pdl-datastream._tcp.local PTR HP LaserJet P3005 GMO [923DC3]._pdl-datastream._tcp.local PTR Deskjet 6940 series [66EC2C]._pdl-datastream._tcp.local PTR Brother HL-L5100DN series._pdl-datastream._tcp.local PTR OKI-ES3032-5B6BBC._pdl-datastream._tcp.local OPT"
"12798","445.815303","fe80::403:2752:fa93:c237","ff02::fb","MDNS","1205","Standard query 0x0000 PTR _pdl-datastream._tcp.local, ""QM"" question TXT Escritorio remoto de jose en joseasupermicro._device-info._tcp.local, ""QM"" question TXT AirPort Time Capsule de Albert._airport._tcp.local, ""QM"" question TXT castresa_(molevol.ibmb.csic.es)._device-info._tcp.local, ""QM"" question TXT wavetank._device-info._tcp.local, ""QM"" question TXT CRESQUES3._device-info._tcp.local, ""QM"" question PTR HP Color LaserJet CP2025dn (8D4CDF)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdw (C05845)._pdl-datastream._tcp.local PTR HP Color LaserJet Pro M252dw (52CBAB)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (3C20FE)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M281fdn (3FB77B)._pdl-datastream._tcp.local PTR HP Designjet T520 24in [4B8D70]._pdl-datastream._tcp.local PTR HP LaserJet P2055dn [BBDD81]._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (B7C915)._pdl-datastream._tcp.local PTR HP OfficeJet Pro 6970 [7CA429]._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (041193)._pdl-datastream._tcp.local PTR HP Color LaserJet MFP M477fdn (A22195)._pdl-datastream._tcp.local PTR HP LaserJet P3005 [A1CF30]._pdl-datastream._tcp.local PTR HP LaserJet P3005 REC [1F55C8]._pdl-datastream._tcp.local PTR hp LaserJet 4250 [157FF8]._pdl-datastream._tcp.local PTR hp2k3cc - HP LaserJet P3005 [A3BE17]._pdl-datastream._tcp.local PTR HP LaserJet P3005 GMO [923DC3]._pdl-datastream._tcp.local PTR Deskjet 6940 series [66EC2C]._pdl-datastream._tcp.local PTR Brother HL-L5100DN series._pdl-datastream._tcp.local PTR OKI-ES3032-5B6BBC._pdl-datastream._tcp.local OPT"
"12799","445.819099","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"12800","445.820031","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"12801","445.820381","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
